created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-24 00:12:34+00:00,RT @drpkhazracardi1: Can people choose their own Corona life and lifestyle : is it time?,AbinashK_jha,"Bihar, India",कट्टर हिन्दू,334,359,5315,False,Can people choose their own Corona life and lifestyle : is it time?
2020-05-24 00:12:37+00:00,"RT @RSSorg: RSS COVID-19 Seva till 20 May 2020

Places Served: 85,701
Dedicated Volunteers: 4,79,949
Ration kit donated to Families : 1,10,…",SumitKu62137143,India,No Value Mentioned,1,58,16,False,"RSS COVID-19 Seva till 20 May 2020

Places Served: 85,701
Dedicated Volunteers: 4,79,949
Ration kit donated to Families : 1,10,55,450
Meal packets distribution : 7,11,46,500
Migrant workers helped in different ways : 27,98,091
Blood Donation : 39,851
Mask Distribution : 62,81,117 https://t.co/fK9CDhSCYX"
2020-05-24 00:12:41+00:00,"In Its Highest One-day Spike Till Date, Maharashtra Records 63 Deaths, Close to 3,000 New Cases https://t.co/7ImO2VEWzR",IamWasimQureshi,India,"I will raised my voice for all Socioeconomic, political, legal, cultural, and institutional oppression...
Jai Hind🇮🇳 | Jai Meem | Jai Bheem",424,76,17301,False,No Value Mentioned
2020-05-24 00:12:42+00:00,"RT @PSPKHolics: Trend Alert 📢📢

We salute to all JanaSena leaders, JanaSainiks &amp; Veeramahilas for their selfless act of #JanaSeva during Co…",Iam_Nagateja,India,"relations make real family love.. 
Always trust on @JanaSenaParty 
And love For @Pawankalyan never dies..",24,326,4340,False,"Trend Alert 📢📢

We salute to all JanaSena leaders, JanaSainiks &amp; Veeramahilas for their selfless act of #JanaSeva during Corona pandemic.

May 24th, Sunday at 10:30 AM

#Janaseva @JanaSenaParty https://t.co/w0E4y30Vn8"
2020-05-24 00:12:43+00:00,RT @INCIndia: The reason the lockdown has not done its jobs is because the lockdown wasn't carried out scientifically it was carried arbitr…,RohitRatheeNSUI,"Haryana, India","Social Media Coordinator

देश प्रेमी ।।
मैं कांग्रेस का सच्चा सिपाही हूं ।।
जय भीम",1059,313,82420,False,The reason the lockdown has not done its jobs is because the lockdown wasn't carried out scientifically it was carried arbitrarily. It was not done asking the stakeholders: Shri @RahulGandhi https://t.co/Rmv8fYwT68
2020-05-24 00:12:45+00:00,"RT @w_terrence: THIS IS WOMAN IS TRULY LOONEY 

 Hollywood Actress @Alyssa_Milano is wearing a crocheted mask to protect herself and others…",PhillipSarrazi2,"Indiana, USA","Christian, I love God, MAGA, President Donald Trump follower, Republican, God bless America No DM'S unless we know each other already here on Twitter. 🇺🇸",3634,4999,19403,False,"THIS IS WOMAN IS TRULY LOONEY 

 Hollywood Actress @Alyssa_Milano is wearing a crocheted mask to protect herself and others from Covid-19

*RT if you are also laughing at this silly woman https://t.co/HOWkah3qlv"
2020-05-24 00:12:51+00:00,"RT @SitaramYechury: Modi’s kneejerk Lockdown and withdrawal have together, left a trail of devastated lives and destruction.  There is no p…",ahamedaat,"Bengaluru, India",I am Mechanical Engineer,610,750,13679,False,"Modi’s kneejerk Lockdown and withdrawal have together, left a trail of devastated lives and destruction.  There is no plan from Modi’s govt to either combat the Pandemic, provide relief or revive the battered Economy, sustainably and equitably. https://t.co/Lib4DEtNIa"
2020-05-24 00:12:54+00:00,"RT @ImranKhanPTI: Wishing a special Eid Mubarak to Kashmiris in IOJK, and admiration for their patience and courage during the inhumane loc…",owais__10,India,"Amplify Hope 💫
EC Engineer 👑💻",63,55,1996,False,"Wishing a special Eid Mubarak to Kashmiris in IOJK, and admiration for their patience and courage during the inhumane lockdown and continuing oppression by Indian Occupation forces."
2020-05-24 00:12:56+00:00,"RT @ClayTravis: This isn’t journalism. This is fear porn. It’s also not remotely accurate, it’s literally counting, which means it’s the op…",JeremyJ90608797,"Indianapolis, IN",Love God. Love each other.,82,340,5865,False,"This isn’t journalism. This is fear porn. It’s also not remotely accurate, it’s literally counting, which means it’s the opposite of incalculable. Every 13 days 100,000 people die. For decades. Coronavirus has been, and will be, a small percentage of people who die this year. https://t.co/VET11au9xs"
2020-05-24 00:12:58+00:00,"https://t.co/7IVu3Y7DWJ from @joelpollak: ""Thus while the Biden campaign has suggested otherwise, the playbook itself admits that there is no magical plan for containing pandemics, and that policymakers would have to learn and adjust over time — which Trump has done."" #Covid_19 https://t.co/BzKqB3YFSj",n8hamilton,"Indiana, USA","#telecom analyst, data analyst, compassionate conservative, follower of Jesus Christ, father of 4, son, brother, coworker, patriot, citizen. #1A #2A",137,643,4688,False,No Value Mentioned
